Kabupaten/Kota,kelompok,jenis,satuan,2015
Ogan_Komering_Ulu,Buah-Buahan,Salak,Kuintal,3577.0
Ogan_Komering_Ilir,Buah-Buahan,Salak,Kuintal,35871.0
Muara_Enim,Buah-Buahan,Salak,Kuintal,15009.0
Lahat,Buah-Buahan,Salak,Kuintal,17038.0
Musi_Rawas,Buah-Buahan,Salak,Kuintal,9944.0
